"","Product","Service and other","Total revenue","Cost of revenue:","Product","Service and other","Total cost of revenue","Gross margin","Research and development","Sales and marketing","General and administrative","Operating income","Other income (expense), net","Income before income taxes","Provision for income taxes","Net income","Earnings per share:","Basic","Diluted","Weighted average shares outstanding:","Basic","Diluted"
"...2","16517.0","36230.0","52747.0",NA," 5690.0","11798.0","17488.0","35259.0"," 6844.0"," 5679.0"," 2337.0","20399.0","  -60.0","20339.0"," 3914.0","16425.0",NA,"    2.2","    2.2",NA," 7451.0"," 7473.0"
"...6"," 32258.00"," 70611.00","102869.00",NA,"  9992.00"," 22948.00"," 32940.00"," 69929.00"," 13472.00"," 10805.00","  3735.00"," 41917.00","    -6.00"," 41911.00","  7930.00"," 33981.00",NA,"     4.56","     4.54",NA,"  7454.00","  7479.00"
